,std,mean
,CONSO_JOURNALIERE,CONSO_JOURNALIERE
SITE_NAME,,
0039KO,30.95786750576017,32.83428571428571
0040BB,20.385872155230736,21.476
0040BR,13.829104574531682,246.13666666666668
0040KO,23.95736121453355,43.11818181818182
0041BR,28.289374671910497,30.375714285714288
0041KO,14.25496721918953,14.444857142857142
0042BB,16.091900556783582,16.648
0042BR,22.63479073825747,23.368
0042KO,17.9906126408546,18.78257142857143
0043BB,27.554070943260243,29.494571428571426
0043BR,92.41014608797023,109.13
0043KO,97.36534149896505,106.05428571428571
0044BB,18.453121933453676,31.85090909090909
0044BR,59.74432274283473,103.39
0044KO,20.94361791567659,20.337741935483873
0045BB,9.225037150069808,9.101142857142857
0045BR,34.73278016731832,37.28628571428571
0045KO,23.467617785744995,22.615142857142857
0046BB,11.641445829810118,12.070857142857143
0046BR,23.75495427495162,25.29057142857143
0046KO,19.16811450773165,20.19542857142857
0047BB,10.295474734076134,47.22
0047BR,24.84107317131289,26.451142857142855
0047KO,12.688001158536157,12.30655172413793
0048BB,23.42229236927788,22.292857142857144
0048BR,40.56793703315526,43.972857142857144
0048KO,0.2687005768508886,27.35
0049BB,20.17498791769134,21.210857142857144
0049BR,113.82734506053197,131.296
0050BR,26.19217962455299,25.312121212121212
0050KO,14.71462725066627,14.109142857142857
0051BB,2.481944801964783,55.425
0051BR,6.7811540315789935,99.295
0051KO,13.12302557721733,12.443243243243243
0052BR,20.919073071034013,22.363714285714288
0052KO,24.226743893141435,25.14257142857143
0053BB,114.17612762671509,121.33085714285714
0053BR,21.532715515675015,22.674857142857142
0053KO,21.519811731862106,20.739714285714285
0054BB,32.17169017536218,33.675714285714285
0054BR,26.69095154957666,28.087714285714284
0054KO,19.345295639026677,20.256857142857143
0055BR,10.323759005323595,100.38
0055KO,15.09345946055426,15.158571428571427
0056BB,19.42422327919446,19.195
0056BR,24.829984475944205,24.27942857142857
0056KO,20.044202204547997,21.058571428571426
0057BR,25.915239366607658,25.97542857142857
0057KO,19.35010510470228,19.340285714285713
0058BR,23.736285162875284,64.83666666666666
0058KO,19.487723465873405,20.106
0059BR,17.834628963118377,18.90742857142857
0059KO,54.3933963490657,54.76428571428571
0060BB,23.895837378790755,25.250285714285713
0060BR,20.450570405638235,21.902285714285714
0060KO,18.51344064559084,19.44085714285714
0061BB,20.02692838415821,21.005714285714287
0061BR,205.56109100054255,186.5666666666667
0061KO,23.322304345840273,36.414
0062BB,22.107500050602628,23.24342857142857
0062BR,21.45661909195255,22.841714285714286
